term,home_ownership,purpose,verification_status,loan_status,loan_amnt,funded_amnt,funded_amnt_inv,annual_inc,int_rate,installment,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_amnt,repay_fail
36 months,RENT,other,Not Verified,Does not meet the credit policy. Status:Fully Paid,2500,2500,2500,20004,13.98,85.42,19.86,0,5,7,0,981,10,3075.291779,3075.29,2500,575.29,90.85,0
36 months,RENT,debt_consolidation,Not Verified,Charged Off,5000,5000,5000,59000,15.95,175.67,19.57,0,1,7,0,18773,15,2948.76,2948.76,1909.02,873.81,175.67,1
36 months,MORTGAGE,other,Not Verified,Fully Paid,7000,7000,7000,53796,9.91,225.58,10.8,3,3,7,0,3269,20,8082.39188,8082.39,7000,1082.39,1550.27,0
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,2000,2000,2000,30000,5.42,60.32,3.6,0,0,7,0,0,15,2161.663244,2161.66,2000,161.66,53.12,0
36 months,MORTGAGE,other,Not Verified,Does not meet the credit policy. Status:Fully Paid,3600,3600,3600,675048,10.25,116.59,1.55,0,4,8,0,0,25,4206.031191,4206.03,3600,606.03,146.75,0
36 months,MORTGAGE,other,Verified,Fully Paid,8000,8000,8000,77736,6.03,243.49,6.07,0,0,12,0,4182,49,8724.971815,8724.97,8000,724.97,1423.66,0
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,6000,6000,6000,35000,7.49,186.61,13.13,0,0,5,0,5864,9,6717.950109,6717.95,6000,717.95,211.41,0
60 months,RENT,debt_consolidation,Verified,Fully Paid,25600,25600,25472.82947,86000,14.27,599.26,26.51,0,1,16,0,33021,32,32840.05674,32659.13,25600,7240.06,16083.78,0
60 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,19750,19750,19750,72500,23.22,559.27,19.96,0,0,15,0,21544,44,27544.89116,27544.89,19750,7794.89,15264.34,0
36 months,MORTGAGE,other,Verified,Charged Off,6250,6250,6250,28000,17.27,223.68,13.76,0,0,2,1,0,15,6688.64,6688.64,4764.18,1713.09,223.68,1
36 months,RENT,credit_card,Source Verified,Fully Paid,8000,8000,8000,75000,13.79,272.61,12.78,0,1,8,0,9287,37,9813.670737,9813.67,7999.97,1813.7,276.65,0
36 months,MORTGAGE,small_business,Source Verified,Fully Paid,15000,15000,15000,38400,15.23,521.68,17.38,1,2,5,0,1960,12,18760.5504,18760.55,15000,3760.55,1570.19,0
36 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,16000,3325,3225,1.00E+05,6.54,101.97,6.05,0,0,5,0,11006,36,3671.069608,3560.66,3325,346.07,119.69,0
36 months,RENT,debt_consolidation,Verified,Fully Paid,7000,7000,6878.91,30996,16.63,248.29,8.32,2,1,3,0,6082,11,7947.009056,7811.26,7000,947.01,5470.42,0
60 months,MORTGAGE,debt_consolidation,Source Verified,Fully Paid,15000,10875,10825,23500,9.99,231.01,11.95,0,1,8,0,3584,12,13860.45333,13796.73,10875,2985.45,230.86,0
36 months,MORTGAGE,debt_consolidation,Not Verified,Does not meet the credit policy. Status:Fully Paid,9000,9000,8948.17216,90000,21.21,340.06,10.24,0,10,9,0,6089,23,10092.85412,10029.77,9000,1092.85,5880.8,0
36 months,MORTGAGE,debt_consolidation,Not Verified,Fully Paid,13000,13000,12925,107004,11.83,430.75,13.2,0,1,14,0,38433,31,15506.63274,15417.17,13000,2506.63,462.57,0
36 months,MORTGAGE,debt_consolidation,Not Verified,Fully Paid,4500,4500,4500,12960,11.83,149.11,9.17,0,2,7,1,2832,10,5368.145768,5368.15,4500,868.15,163.7,0
36 months,RENT,credit_card,Not Verified,Fully Paid,10500,10500,7386.297359,51504,12.53,351.4,23.49,0,1,12,0,18709,19,12667.99707,8543.7,10499.99,2150.43,361.85,0
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,2000,2000,2000,26496,13.61,67.98,17.71,0,0,5,0,5992,7,2447.360162,2447.36,2000,447.36,81.77,0
36 months,MORTGAGE,credit_card,Not Verified,Fully Paid,8000,8000,7671.428316,55000,11.14,262.43,18.89,1,1,14,0,36269,27,9447.75419,9047.56,8000,1447.75,264.34,0
36 months,RENT,credit_card,Not Verified,Fully Paid,14400,14400,14400,59000,8.9,457.25,10.72,0,0,5,0,20380,10,15337.03068,15337.03,14400,937.03,1305.23,0
36 months,RENT,small_business,Not Verified,Fully Paid,6000,6000,6000,45000,15.99,210.92,3.84,0,0,3,0,6195,3,7595.32908,7595.33,6000,1595.33,235.93,0
36 months,MORTGAGE,major_purchase,Not Verified,Fully Paid,4200,4200,4200,78000,13.06,141.64,13.82,5,1,14,0,23653,28,5098.865209,5098.87,4200,898.87,146.81,0
36 months,RENT,other,Verified,Fully Paid,3600,3600,3600,30000,14.17,123.34,0.68,1,2,4,0,278,9,3684.305325,3684.31,3600,84.31,3561.66,0
36 months,RENT,wedding,Source Verified,Fully Paid,5000,5000,5000,34868.4,6,152.11,4.37,1,3,2,0,2295,7,5936.962272,5936.96,5000,936.96,2973.62,0
36 months,RENT,other,Not Verified,Fully Paid,7000,7000,6975,36000,16.35,247.31,3.73,0,0,2,0,3722,3,8616.124601,8585.35,7000,1616.12,3186.4,0
36 months,RENT,other,Not Verified,Fully Paid,2800,2800,2800,48000,7.49,87.09,25.45,0,3,6,0,1513,20,3135.020847,3135.02,2800,335.02,105.94,0
36 months,RENT,medical,Not Verified,Charged Off,6500,6500,6375,42500,15.65,227.41,13.16,0,1,6,0,1542,8,2072.47,2032.64,1191.48,623.57,227.41,1
36 months,OWN,car,Source Verified,Fully Paid,9575,9575,9280.497737,56996,9.63,307.31,10.72,0,0,11,0,8305,15,10995.44109,10656.45,9575,1420.44,2407.57,0
36 months,MORTGAGE,credit_card,Source Verified,Fully Paid,17325,17325,17075,114000,11.99,575.36,12.89,0,0,7,0,7914,13,20712.7521,20413.87,17325,3387.75,576.92,0
60 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,16000,16000,16000,65000,16.49,393.27,17.54,0,1,12,0,7826,24,17933.27852,17933.28,16000,1933.28,223.87,0
36 months,RENT,debt_consolidation,Source Verified,Fully Paid,12000,12000,11750,68400,7.29,372.12,17.05,0,0,19,0,30181,44,13360.83486,13082.48,12000,1360.83,217.94,0
36 months,RENT,small_business,Not Verified,Fully Paid,10000,10000,9975,43337,6.92,308.41,24.89,0,0,5,0,3888,8,11103.43382,11075.67,10000,1103.43,315.04,0
36 months,MORTGAGE,debt_consolidation,Not Verified,Fully Paid,18000,18000,18000,78000,6.62,552.67,6.35,0,0,8,0,16136,13,19895.96,19895.96,18000,1895.96,574.46,0
36 months,RENT,other,Source Verified,Fully Paid,1450,1450,1450,10000,7.51,45.12,22.2,0,0,9,0,709,10,1555.993411,1555.99,1450,105.99,970.62,0
36 months,RENT,debt_consolidation,Source Verified,Fully Paid,12500,12500,12425,43560,18.62,455.81,5.43,0,0,4,0,8735,8,15628.43262,15534.66,12500,3128.43,1789.83,0
36 months,RENT,debt_consolidation,Not Verified,Does not meet the credit policy. Status:Fully Paid,5500,5500,5119.56414,24000,14.62,189.64,20.45,0,4,4,0,4609,7,6857.360454,6351.33,5499.98,1327.38,195.09,0
60 months,RENT,debt_consolidation,Not Verified,Fully Paid,6000,6000,5900.465799,24000,11.49,131.93,10.65,0,1,7,0,2607,20,7928.340004,7776.63,6000,1913.34,148.76,0
36 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,25000,25000,24900,2.00E+05,15.57,873.63,23.78,0,0,19,0,98433,39,29280.77624,29163.65,25000,4280.78,16196.06,0
36 months,MORTGAGE,debt_consolidation,Not Verified,Fully Paid,12000,12000,10825,80000,9.88,386.53,15.03,0,0,13,0,19330,23,13224.09719,11929.24,12000,1224.1,19.46,0
60 months,MORTGAGE,home_improvement,Verified,Fully Paid,14275,14275,14275,54000,20.3,380.59,19.31,0,2,10,1,11619,20,20611.20871,20611.21,14275,6336.21,8823.15,0
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,10000,10000,9934.892823,45000,14.11,342.29,7.95,0,0,7,0,11816,10,12322.38679,12240.28,9999.99,2322.4,351.54,0
36 months,MORTGAGE,debt_consolidation,Verified,Fully Paid,20050,20050,19775,76000,10.59,652.53,20.21,0,0,8,0,29303,15,20746.87624,20462.32,20050,696.88,2844.61,0
60 months,RENT,debt_consolidation,Verified,Fully Paid,25000,15050,14666.44538,65000,12.61,339.44,24.57,0,3,17,0,5277,28,20366.11789,19762.83,15050,5316.12,339.15,0
36 months,RENT,credit_card,Not Verified,Fully Paid,7000,7000,7000,72000,11.49,230.8,18.3,0,3,17,0,15260,37,8308.750002,8308.75,7000,1308.75,245.14,0
36 months,MORTGAGE,debt_consolidation,Not Verified,Fully Paid,5000,5000,5000,1.00E+05,5.42,150.8,5.9,0,0,11,0,5207,26,5410.105852,5410.11,5000,410.11,1197.82,0
36 months,MORTGAGE,debt_consolidation,Not Verified,Does not meet the credit policy. Status:Fully Paid,12325,12325,5625,54000,18.36,447.81,14.82,2,3,22,0,8079,48,16234.67126,7409.33,12325,3909.67,216.09,0
36 months,MORTGAGE,credit_card,Source Verified,Fully Paid,8000,8000,8000,58000,13.61,271.91,22.49,1,3,17,0,6637,25,9560.659512,9560.66,8000,1560.66,50.32,0
60 months,MORTGAGE,small_business,Verified,Charged Off,35000,35000,28825.00602,73000,21.74,961.5,17.44,3,1,8,0,19505,26,12320.78,10145.25,2787.92,4894,961.5,1
36 months,RENT,debt_consolidation,Not Verified,Fully Paid,8500,8500,8500,45000,10.62,276.76,2.01,0,1,12,0,7011,35,9385.106074,9385.11,8500,885.11,5795.2,0
